,M,F,overall,agedays
1,2.97082465963679e-05,2.33490747820246e-05,2.65286606891963e-05,1
2,2.96566295283856e-05,2.33087098375388e-05,2.64826696829622e-05,2
3,2.96050124604033e-05,2.32683448930531e-05,2.64366786767282e-05,3
4,2.9553395392421e-05,2.32279799485673e-05,2.63906876704941e-05,4
5,2.95017783244387e-05,2.31876150040815e-05,2.63446966642601e-05,5
6,2.94501612564564e-05,2.31472500595957e-05,2.62987056580261e-05,6
7,2.93985441884741e-05,2.31068851151099e-05,2.6252714651792e-05,7
8,2.93469271204919e-05,2.30665201706241e-05,2.6206723645558e-05,8
9,2.92953100525096e-05,2.30261552261384e-05,2.6160732639324e-05,9
10,2.92436929845273e-05,2.29857902816526e-05,2.61147416330899e-05,10
11,2.9192075916545e-05,2.29454253371668e-05,2.60687506268559e-05,11
12,2.91404588485627e-05,2.2905060392681e-05,2.60227596206218e-05,12
13,2.90888417805804e-05,2.28646954481952e-05,2.59767686143878e-05,13
14,2.90372247125981e-05,2.28243305037094e-05,2.59307776081538e-05,14
15,2.89856076446158e-05,2.27839655592236e-05,2.58847866019197e-05,15
16,2.89339905766335e-05,2.27436006147379e-05,2.58387955956857e-05,16
17,2.88823735086512e-05,2.27032356702521e-05,2.57928045894517e-05,17
18,2.8830756440669e-05,2.26628707257663e-05,2.57468135832176e-05,18
19,2.87791393726867e-05,2.26225057812805e-05,2.57008225769836e-05,19
20,2.87275223047044e-05,2.25821408367947e-05,2.56548315707496e-05,20
21,2.86759052367221e-05,2.25417758923089e-05,2.56088405645155e-05,21
22,2.86242881687398e-05,2.25014109478231e-05,2.55628495582815e-05,22
23,2.85726711007575e-05,2.24610460033374e-05,2.55168585520474e-05,23
24,2.85210540327752e-05,2.24206810588516e-05,2.54708675458134e-05,24
25,2.84694369647929e-05,2.23803161143658e-05,2.54248765395794e-05,25
26,2.84178198968106e-05,2.233995116988e-05,2.53788855333453e-05,26
27,2.83662028288284e-05,2.22995862253942e-05,2.53328945271113e-05,27
28,2.83145857608461e-05,2.22592212809084e-05,2.52869035208773e-05,28
29,2.82629686928638e-05,2.22188563364227e-05,2.52409125146432e-05,29
30,2.82113516248815e-05,2.21784913919369e-05,2.51949215084092e-05,30
31,2.81597345568992e-05,2.21381264474511e-05,2.51489305021751e-05,31
32,2.81081174889169e-05,2.20977615029653e-05,2.51029394959411e-05,32
33,2.80565004209346e-05,2.20573965584795e-05,2.50569484897071e-05,33
34,2.80048833529523e-05,2.20170316139937e-05,2.5010957483473e-05,34
35,2.795326628497e-05,2.19766666695079e-05,2.4964966477239e-05,35
36,2.79016492169877e-05,2.19363017250222e-05,2.4918975471005e-05,36
37,2.78500321490055e-05,2.18959367805364e-05,2.48729844647709e-05,37
38,2.77984150810232e-05,2.18555718360506e-05,2.48269934585369e-05,38
39,2.77467980130409e-05,2.18152068915648e-05,2.47810024523028e-05,39
40,2.76951809450586e-05,2.1774841947079e-05,2.47350114460688e-05,40
41,2.76435638770763e-05,2.17344770025932e-05,2.46890204398348e-05,41
42,2.7591946809094e-05,2.16941120581074e-05,2.46430294336007e-05,42
43,2.75403297411117e-05,2.16537471136217e-05,2.45970384273667e-05,43
44,2.74887126731294e-05,2.16133821691359e-05,2.45510474211326e-05,44
45,2.74370956051471e-05,2.15730172246501e-05,2.45050564148986e-05,45
46,2.73854785371648e-05,2.15326522801643e-05,2.44590654086646e-05,46
47,2.73338614691826e-05,2.14922873356785e-05,2.44130744024305e-05,47
48,2.72822444012003e-05,2.14519223911927e-05,2.43670833961965e-05,48
49,2.7230627333218e-05,2.1411557446707e-05,2.43210923899625e-05,49
50,2.71790102652357e-05,2.13711925022212e-05,2.42751013837284e-05,50
51,2.71273931972534e-05,2.13308275577354e-05,2.42291103774944e-05,51
52,2.70757761292711e-05,2.12904626132496e-05,2.41831193712603e-05,52
53,2.70241590612888e-05,2.12500976687638e-05,2.41371283650263e-05,53
54,2.69725419933065e-05,2.1209732724278e-05,2.40911373587923e-05,54
55,2.69209249253242e-05,2.11693677797922e-05,2.40451463525582e-05,55
